ltrans=1.0;unitid=00:00:24:c4:67:b0;timestamp=1206698418
timestamp;lat;lon;speed;direction;toerental_schroef_1;toerental_schroef_2
1206698418;52.436800;4.828017;1.750000;353.000000;6792;217
1206698423;52.436817;4.828000;2.020000;346.100000;13028;176
1206698428;52.436850;4.828000;1.910000;343.700000;12857;133
1206698434;52.436867;4.827983;1.330000;347.000000;12730;129
1206698439;52.436883;4.827983;1.100000;343.500000;8994;17029
1206698444;52.436900;4.827967;1.250000;351.500000;1218;9082
1206698449;52.436917;4.827967;1.160000;357.200000;447;1300
1206698454;52.436933;4.827967;0.000000;0.000000;286;469
1206698460;52.436933;4.827967;0.000000;0.000000;197;258
1206698466;52.436950;4.827967;0.000000;0.000000;197;218
1206698471;52.436950;4.827967;0.000000;0.000000;156;13607
1206698477;52.436967;4.827967;0.000000;0.000000;111;13689
1206698482;52.436967;4.827967;0.000000;0.000000;116;13687
1206698487;52.436967;4.827967;0.000000;0.000000;113;13607
1206698492;52.436983;4.827967;0.000000;0.000000;116;13607
1206698497;52.437017;4.827950;0.000000;0.000000;116;15818
1206698502;52.437033;4.827950;0.000000;0.000000;111;14569
1206698508;52.437067;4.827933;0.000000;0.000000;107;15236
1206698513;52.437083;4.827917;0.000000;0.000000;67;15191
1206698518;52.437133;4.827900;2.980000;334.600000;67;15109
1206698524;52.437183;4.827867;3.500000;331.100000;67;15191
1206698530;52.437250;4.827817;3.700000;327.700000;67;15109
1206698535;52.437300;4.827767;3.900000;333.000000;67;9040
1206698540;52.437350;4.827733;4.130000;334.500000;67;9082
1206698545;52.437400;4.827700;3.990000;336.500000;67;9087
1206698550;52.437450;4.827667;4.040000;331.500000;72;9082
1206698555;52.437500;4.827617;3.820000;328.500000;27;9089
1206698561;52.437550;4.827567;4.280000;332.400000;27;9082
1206698566;52.437600;4.827533;3.950000;331.200000;27;9082
1206698571;52.437650;4.827483;3.560000;330.400000;27;14024
1206698576;52.437700;4.827450;3.960000;330.900000;27;14269
1206698582;52.437750;4.827400;4.060000;332.600000;27;14229
1206698588;52.437800;4.827350;4.200000;333.100000;25;9042
1206698593;52.437850;4.827317;4.140000;332.000000;25;9042
1206698598;52.437900;4.827283;4.370000;343.200000;25;9040
1206698603;52.437950;4.827250;4.300000;333.800000;27;9000
1206698608;52.438000;4.827200;4.250000;335.300000;27;9042
1206698613;52.438050;4.827167;4.360000;337.100000;25;9040
1206698619;52.438117;4.827117;4.320000;336.800000;25;9000
1206698624;52.438167;4.827083;4.140000;331.900000;27;4314
1206698629;52.438217;4.827050;4.020000;330.900000;27;1304
1206698634;52.438250;4.827000;3.850000;330.600000;27;595
1206698639;52.438300;4.826967;4.150000;330.600000;27;298
1206698646;52.438367;4.826917;3.970000;330.700000;27;217
1206698651;52.438400;4.826883;3.590000;330.700000;9373;169
1206698656;52.438433;4.826833;3.620000;329.200000;9034;137
1206698661;52.438483;4.826800;3.790000;330.100000;9074;128
1206698666;52.438517;4.826767;3.660000;328.000000;3761;133
1206698672;52.438567;4.826717;3.800000;331.900000;9544;88
1206698677;52.438600;4.826683;3.410000;331.400000;9163;88
1206698682;52.438633;4.826650;3.110000;331.900000;9244;48
1206698687;52.438667;4.826617;2.880000;330.300000;9123;48
1206698692;52.438700;4.826600;2.670000;330.300000;4498;48
1206698697;52.438733;4.826567;2.750000;330.900000;625;48
1206698713;52.438817;4.826483;1.130000;314.000000;197;48
1206698721;52.438850;4.826450;1.940000;326.400000;156;8920
1206698727;52.438900;4.826300;1.970000;324.100000;114;9000
1206698732;52.438900;4.826317;1.110000;335.800000;116;8958
1206698737;52.438917;4.826317;1.290000;323.500000;116;8960
1206698742;52.438933;4.826233;0.000000;0.000000;113;12516
1206698747;52.438950;4.826200;0.000000;0.000000;111;9082
1206698752;52.438950;4.826267;0.000000;0.000000;107;9042
1206698758;52.438950;4.826267;0.000000;0.000000;108;9082
1206698764;52.438950;4.826267;0.000000;0.000000;67;10588
1206698769;52.438967;4.826250;1.490000;318.900000;67;10588
1206698774;52.438983;4.826300;1.880000;330.000000;67;14981
